idno,gincdif,nuts2,eisced,eiscedf,eiscedm,domicil,n2_unrao25_2022,wkhtot,ipeqopt,inprdsc,ppltrst,trstprl,gndr,agea,cntry,marsts,chldhhe,uemp3m,mbtru,hinctnta,c_gini_2022,c_effectiveness_2022,n2_unrao25_2020,n2_unrao25_2021,c_gini_2020,c_gini_2021,c_effectiveness_2020,c_effectiveness_2021,eqi21_n2,eqi21_n2_lowME,eqi21_n2_highME
11089,2,BE22,4,88,88.0,4,3.0,666,2,3,3,7,1,20,BE,6,2,2,3,5,24.9,1.2276587,3.0,2.8,25.4,24.1,1.078783,1.0870334,0.739,0.451199,1.026801
11108,3,BE34,6,1,1.0,4,4.2,24,2,4,5,8,1,60,BE,66,1,2,2,7,24.9,1.2276587,3.7,4.7,25.4,24.1,1.078783,1.0870334,0.513,0.338499,0.687501
11112,2,BE22,6,6,6.0,4,3.0,30,2,4,6,5,1,47,BE,66,6,2,1,10,24.9,1.2276587,3.0,2.8,25.4,24.1,1.078783,1.0870334,0.739,0.451199,1.026801
11120,3,BE10,7,2,4.0,1,10.3,43,2,3,7,8,2,42,BE,4,6,1,1,6,24.9,1.2276587,11.4,11.4,25.4,24.1,1.078783,1.0870334,-0.218,-0.518527,0.082527
11128,1,BE22,1,88,1.0,4,3.0,46,3,4,8,6,1,68,BE,4,1,2,3,6,24.9,1.2276587,3.0,2.8,25.4,24.1,1.078783,1.0870334,0.739,0.451199,1.026801
11143,2,BE23,4,6,2.0,4,1.4,48,1,2,5,6,2,77,BE,66,6,2,2,6,24.9,1.2276587,2.2,2.1,25.4,24.1,1.078783,1.0870334,0.679,0.275555,1.082445
11154,2,BE25,6,4,4.0,4,1.9,666,3,4,7,7,1,24,BE,6,2,2,3,88,24.9,1.2276587,2.7,2.8,25.4,24.1,1.078783,1.0870334,0.745,0.353999,1.136001
11156,3,BE25,5,88,1.0,2,1.9,38,2,1,5,5,1,34,BE,66,6,2,1,8,24.9,1.2276587,2.7,2.8,25.4,24.1,1.078783,1.0870334,0.745,0.353999,1.136001
11174,3,BE32,6,6,3.0,3,8.5,37,2,3,1,5,1,48,BE,6,1,1,1,5,24.9,1.2276587,7.2,8.6,25.4,24.1,1.078783,1.0870334,0.122,-0.078713,0.322713
11175,2,BE24,7,6,7.0,3,2.7,65,2,3,4,2,1,43,BE,6,6,2,3,9,24.9,1.2276587,3.1,3.1,25.4,24.1,1.078783,1.0870334,0.557,0.2524540000000001,0.861546
11177,2,BE21,2,7,7.0,4,3.2,40,1,3,6,6,2,17,BE,6,2,2,3,88,24.9,1.2276587,3.5,4.2,25.4,24.1,1.078783,1.0870334,0.478,0.153449,0.802551
11195,2,BE31,4,2,2.0,4,4.6,60,2,3,3,5,1,56,BE,6,1,2,3,77,24.9,1.2276587,5.2,5.7,25.4,24.1,1.078783,1.0870334,0.459,0.160079,0.7579210000000001
11218,2,BE21,7,7,6.0,2,3.2,42,2,3,6,7,1,30,BE,6,6,2,3,8,24.9,1.2276587,3.5,4.2,25.4,24.1,1.078783,1.0870334,0.478,0.153449,0.802551
11220,2,BE25,6,1,2.0,4,1.9,50,1,4,8,6,2,57,BE,6,2,1,3,7,24.9,1.2276587,2.7,2.8,25.4,24.1,1.078783,1.0870334,0.745,0.353999,1.136001
11222,1,BE21,5,5,5.0,1,3.2,40,2,4,2,5,2,23,BE,66,2,2,3,88,24.9,1.2276587,3.5,4.2,25.4,24.1,1.078783,1.0870334,0.478,0.153449,0.802551
11225,2,BE24,6,4,2.0,4,2.7,16,2,3,4,6,2,61,BE,66,1,2,2,8,24.9,1.2276587,3.1,3.1,25.4,24.1,1.078783,1.0870334,0.557,0.2524540000000001,0.861546
11227,2,BE23,2,3,3.0,4,1.4,60,2,3,8,6,2,73,BE,66,2,2,3,77,24.9,1.2276587,2.2,2.1,25.4,24.1,1.078783,1.0870334,0.679,0.275555,1.082445
11259,2,BE33,2,2,1.0,4,7.5,60,1,5,7,2,2,63,BE,66,1,2,3,88,24.9,1.2276587,6.8,8.1,25.4,24.1,1.078783,1.0870334,0.154,-0.077615,0.385615
11261,3,BE10,2,1,1.0,1,10.3,40,3,2,7,3,1,25,BE,6,2,2,3,5,24.9,1.2276587,11.4,11.4,25.4,24.1,1.078783,1.0870334,-0.218,-0.518527,0.082527
11273,1,BE34,4,1,3.0,3,4.2,38,1,3,0,4,2,22,BE,6,2,1,3,4,24.9,1.2276587,3.7,4.7,25.4,24.1,1.078783,1.0870334,0.513,0.338499,0.687501
11274,1,BE24,2,2,2.0,4,2.7,42,2,4,5,5,2,90,BE,5,2,1,3,3,24.9,1.2276587,3.1,3.1,25.4,24.1,1.078783,1.0870334,0.557,0.2524540000000001,0.861546
11284,1,BE23,1,1,1.0,4,1.4,40,3,2,8,6,1,57,BE,4,1,2,1,7,24.9,1.2276587,2.2,2.1,25.4,24.1,1.078783,1.0870334,0.679,0.275555,1.082445
