idno,gincdif,nuts2,wkhtot,agea,cntry,eqi21_n2,eqi21_n2_lowME,eqi21_n2_highME,inc_redist,resp_ed,fath_ed,moth_ed,educ_mob_father,educ_mob_mother,educ_mob_avg,educ_mob_avg_category,EQI,domicile,unemp_nuts2,equality_importance,social_ties,gen_trust,gov_trust,income_decile,gender,union_member,child_ever,marital_status,unemp_ever,cntry_name,educ_mob_avg_bins
24891,1,LT02,30.0,30,France,-0.344,-0.750751,0.062751,1,3.0,3.0,1.0,6.0,8.0,7.0,2,1,3.0,3,1,2,2,3.0,6,1,0.0,,0.0,1.0,France,Moderate
24901,2,LT01,40.0,35,France,-0.093,-0.444333,0.258333,1,5.0,6.0,5.0,5.0,6.0,5.5,1,1,2.0,2,1,2,0,0.0,,1,0.0,0.0,0.0,1.0,France,Low
24903,1,LT02,40.0,61,France,-0.344,-0.750751,0.062751,1,4.0,0.0,1.0,10.0,9.0,9.5,2,1,4.0,3,1,0,3,0.0,5,1,0.0,1.0,,0.0,France,Very High
24921,1,LT02,40.0,50,France,-0.344,-0.750751,0.062751,1,3.0,4.0,4.0,5.0,5.0,5.0,1,1,4.0,3,1,1,3,0.0,6,0,0.0,1.0,2.0,1.0,France,Low
24932,2,LT02,50.0,63,France,-0.344,-0.750751,0.062751,1,4.0,4.0,4.0,6.0,6.0,6.0,0,1,3.0,3,1,3,3,3.0,2,1,0.0,1.0,2.0,1.0,France,Low
24944,1,LT02,40.0,54,France,-0.344,-0.750751,0.062751,1,5.0,4.0,4.0,7.0,7.0,7.0,2,1,3.0,3,1,3,2,1.0,7,1,0.0,1.0,3.0,0.0,France,Moderate
24960,3,LT02,40.0,89,France,-0.344,-0.750751,0.062751,2,1.0,0.0,0.0,7.0,7.0,7.0,2,1,1.0,3,2,2,2,1.0,3,1,0.0,0.0,3.0,0.0,France,Moderate
24961,2,LT02,48.0,51,France,-0.344,-0.750751,0.062751,1,4.0,0.0,0.0,10.0,10.0,10.0,2,1,1.0,3,2,4,2,0.0,3,1,0.0,1.0,3.0,1.0,France,Very High
24977,1,LT02,40.0,51,France,-0.344,-0.750751,0.062751,1,5.0,0.0,0.0,11.0,11.0,11.0,2,1,3.0,3,1,2,2,1.0,5,1,1.0,1.0,2.0,0.0,France,Very High
25009,2,LT02,49.0,33,France,-0.344,-0.750751,0.062751,1,3.0,2.0,0.0,7.0,9.0,8.0,2,1,4.0,3,2,3,3,2.0,6,1,0.0,0.0,,0.0,France,High
